,JyoCD,Year,Kaiji,Nichiji,RaceNum,Umaban,Jyoken,Kyori,TrackCD,SibaBabaCD,DirtBabaCD,KakuteiJyuni,Ninki,PayTansyoUmaban1,PayTansyoPay1,PayTansyoNinki1,PayTansyoUmaban2,PayTansyoPay2,PayTansyoNinki2,PayFukusyoUmaban1,PayFukusyoPay1,PayFukusyoNinki1,PayFukusyoUmaban2,PayFukusyoPay2,PayFukusyoNinki2,PayFukusyoUmaban3,PayFukusyoPay3,PayFukusyoNinki3,PayFukusyoUmaban4,PayFukusyoPay4,PayFukusyoNinki4,PayFukusyoUmaban5,PayFukusyoPay5,PayFukusyoNinki5
0,03,2019,01,05,02,02,703,1200,17,1,0,13,16,06,000001510,05,,,,06,000000480,06,08,000000520,08,01,000000290,04,,,,,,
0,03,2019,01,05,02,16,703,1200,17,1,0,09,08,06,000001510,05,,,,06,000000480,06,08,000000520,08,01,000000290,04,,,,,,
0,03,2019,01,05,03,03,703,1700,24,0,1,04,04,13,000000600,02,,,,13,000000260,05,02,000000110,01,01,000000370,08,,,,,,
0,03,2019,01,05,03,14,703,1700,24,0,1,15,14,13,000000600,02,,,,13,000000260,05,02,000000110,01,01,000000370,08,,,,,,
0,03,2019,01,05,04,01,999,3380,54,1,0,04,09,03,000000190,01,,,,03,000000140,01,06,000000310,05,13,000000980,11,,,,,,
0,03,2019,01,05,04,07,999,3380,54,1,0,05,05,03,000000190,01,,,,03,000000140,01,06,000000310,05,13,000000980,11,,,,,,
0,03,2019,01,05,04,11,999,3380,54,1,0,09,03,03,000000190,01,,,,03,000000140,01,06,000000310,05,13,000000980,11,,,,,,
0,03,2019,01,05,05,02,703,2770,54,1,0,02,01,06,000001210,04,,,,06,000000180,04,02,000000110,01,03,000000140,03,,,,,,
0,03,2019,01,05,06,01,005,1700,24,0,1,08,06,06,000000200,01,,,,06,000000110,01,03,000000220,05,10,000000670,10,,,,,,
0,03,2019,01,05,07,02,703,2000,17,1,0,09,10,03,000000260,02,,,,03,000000120,02,08,000000270,05,11,000000110,01,,,,,,
0,03,2019,01,05,07,10,703,2000,17,1,0,07,11,03,000000260,02,,,,03,000000120,02,08,000000270,05,11,000000110,01,,,,,,
0,03,2019,01,05,07,12,703,2000,17,1,0,04,09,03,000000260,02,,,,03,000000120,02,08,000000270,05,11,000000110,01,,,,,,
0,03,2019,01,05,08,01,005,1200,17,1,0,06,06,12,000000470,02,,,,12,000000190,02,07,000000270,05,02,000000420,09,,,,,,
0,03,2019,01,05,11,02,999,1800,17,1,0,07,06,05,000000600,04,,,,05,000000140,04,06,000000130,01,10,000000140,03,,,,,,
0,05,2019,02,01,01,15,703,1400,23,0,1,13,11,14,000001500,05,,,,14,000000300,05,16,000000290,04,06,000000130,01,,,,,,
0,05,2019,02,01,01,16,703,1400,23,0,1,02,04,14,000001500,05,,,,14,000000300,05,16,000000290,04,06,000000130,01,,,,,,
0,05,2019,02,01,02,04,703,2100,23,0,1,05,04,03,000001080,05,,,,03,000000280,05,08,000000840,07,06,000000200,03,,,,,,
0,05,2019,02,01,02,06,703,2100,23,0,1,03,03,03,000001080,05,,,,03,000000280,05,08,000000840,07,06,000000200,03,,,,,,
