,JyoCD,Year,Kaiji,Nichiji,RaceNum,Umaban,Jyoken,Kyori,TrackCD,SibaBabaCD,DirtBabaCD,KakuteiJyuni,Ninki,PayTansyoUmaban1,PayTansyoPay1,PayTansyoNinki1,PayTansyoUmaban2,PayTansyoPay2,PayTansyoNinki2,PayFukusyoUmaban1,PayFukusyoPay1,PayFukusyoNinki1,PayFukusyoUmaban2,PayFukusyoPay2,PayFukusyoNinki2,PayFukusyoUmaban3,PayFukusyoPay3,PayFukusyoNinki3,PayFukusyoUmaban4,PayFukusyoPay4,PayFukusyoNinki4,PayFukusyoUmaban5,PayFukusyoPay5,PayFukusyoNinki5
0,03,2019,01,01,07,15,703,1200,17,1,0,02,05,03,000000570,02,,,,03,000000260,05,15,000000240,03,09,000003330,13,,,,,,
0,03,2019,01,01,11,14,010,1200,17,1,0,12,10,04,000000490,01,,,,04,000000200,01,02,000000280,05,06,000000510,09,,,,,,
0,03,2019,01,01,12,01,005,1800,17,1,0,12,13,07,000001190,06,,,,07,000000290,03,12,000000730,10,13,000000470,08,,,,,,
0,03,2019,01,01,12,07,005,1800,17,1,0,01,06,07,000001190,06,,,,07,000000290,03,12,000000730,10,13,000000470,08,,,,,,
0,06,2019,03,05,02,02,703,1800,24,0,1,04,02,10,000000170,01,,,,10,000000110,01,01,000000170,05,09,000000160,03,,,,,,
0,06,2019,03,05,04,07,703,1800,24,0,1,01,01,07,000000170,01,,,,07,000000110,01,13,000000140,02,05,000000140,03,,,,,,
0,06,2019,03,05,06,11,703,1800,24,0,1,05,01,08,000000710,03,,,,08,000000290,03,12,000001220,09,06,000000390,05,,,,,,
0,06,2019,03,05,09,03,010,1800,17,1,0,02,09,11,000000440,02,,,,11,000000200,02,03,000000890,09,01,000000440,07,,,,,,
0,09,2019,02,05,06,09,005,1600,18,1,0,08,01,12,000000490,03,,,,12,000000210,03,07,000000150,02,04,000000250,04,,,,,,
