,jyoCd,Kyori,TrackCD,LR,taikei_0,taikei_1,taikei_2,taikei_3,taikei_4,taikei_5,taikei_10,taikei_11,taikei_12,taikei_13,taikei_14,taikei_15
88,08,1900,2,1,2,3,2,3,2,1,2,2,3,3,2,3
89,08,1900,2,1,2,2,2,2,2,2,2,1,2,2,2,2
90,08,1900,2,1,3,3,3,3,2,1,2,2,3,3,2,2
91,08,3000,1,1,2,3,2,2,2,2,2,1,2,2,3,3
92,08,3000,1,1,2,2,2,3,2,2,1,1,3,3,2,2
93,08,3000,1,1,2,2,2,2,2,2,1,1,2,2,2,2
94,08,3000,1,1,2,2,2,2,2,1,2,1,1,1,2,2
95,08,3000,1,1,2,2,2,2,2,1,1,1,2,2,3,3
96,08,3000,1,1,2,3,2,2,2,2,3,2,3,3,1,1
97,08,3000,1,1,2,2,2,3,2,2,2,1,2,1,3,3
98,08,3000,1,1,2,3,2,2,2,1,3,2,2,1,2,2
99,08,3000,1,1,3,2,3,2,2,2,3,2,2,2,2,2
100,08,3000,1,1,1,2,2,2,2,1,1,1,3,2,2,3
101,08,3000,1,1,2,3,2,2,2,1,2,2,2,1,2,2
102,08,1600,1,1,2,2,2,2,2,2,2,2,2,1,1,1
103,08,1600,1,1,2,2,2,2,2,2,2,2,2,2,2,2
104,08,1600,1,1,2,3,2,2,2,2,2,1,1,1,2,2
105,08,1600,1,1,2,3,2,3,2,2,2,1,0,0,2,2
106,08,1600,1,1,3,3,3,3,2,2,3,2,2,3,3,3
107,08,1600,1,1,2,2,2,2,2,1,2,1,3,2,3,3
108,08,1600,1,1,2,3,2,2,2,2,3,2,3,3,3,3
109,08,1600,1,1,2,3,2,3,2,1,2,1,0,0,3,3
110,08,1600,1,1,2,2,2,2,2,2,2,1,2,2,1,2
111,08,1600,1,1,2,2,2,2,2,1,2,2,2,2,3,3
112,08,1600,1,1,2,3,3,3,2,2,3,2,3,3,2,2
113,08,1600,1,1,2,3,2,2,2,2,2,1,2,2,1,2
114,08,1600,1,1,2,2,2,2,2,2,2,1,3,3,2,2
115,08,1600,1,1,2,3,2,2,2,2,2,2,1,2,2,3
116,08,1600,1,1,2,2,2,2,2,2,2,1,3,3,3,3
117,08,1600,1,1,2,3,2,2,2,2,3,2,3,3,2,2
118,08,1600,1,1,2,3,2,2,2,2,2,2,2,1,2,2
119,08,1200,1,1,2,2,2,2,2,1,3,3,2,2,3,3
120,08,1200,1,1,2,2,2,2,2,2,3,2,3,3,1,1
121,08,1200,1,1,2,3,2,2,2,2,2,1,2,2,3,3
122,08,1200,1,1,3,3,3,2,2,2,3,2,2,2,2,2
123,08,1200,1,1,2,2,2,3,2,1,2,1,3,2,2,2
124,08,1200,1,1,3,3,3,2,2,1,3,2,2,2,2,2
125,08,1200,1,1,2,2,2,2,2,1,2,2,1,1,2,2
126,08,1200,1,1,3,2,3,2,2,1,2,1,2,1,2,2
127,08,1200,1,1,2,2,2,3,2,1,3,2,2,2,3,3
128,08,1200,1,1,2,3,2,2,2,1,3,2,2,2,2,2
129,08,1200,1,1,2,2,2,2,2,2,2,2,3,3,3,3
130,08,1200,1,1,2,2,2,2,2,1,3,2,2,2,2,2
131,08,1200,1,1,2,3,3,3,2,2,3,3,1,1,2,2
132,08,1200,1,1,2,2,2,2,2,1,2,1,2,2,3,3
133,08,1200,1,1,2,2,2,2,2,1,3,2,2,2,2,2
134,06,1200,2,1,3,2,1,2,2,1,2,1,2,3,2,2
135,06,1200,2,1,2,3,3,2,2,2,2,2,2,2,2,3
136,06,1200,2,1,2,1,1,2,2,2,2,1,3,3,3,3
137,06,1200,2,1,2,2,2,2,2,1,1,1,3,3,3,3
138,06,1200,2,1,2,3,3,3,2,2,3,2,0,0,2,2
139,06,1200,2,1,2,3,2,3,2,2,3,2,3,3,3,3
140,06,1200,2,1,2,3,3,2,2,1,3,3,3,3,2,3
141,06,1200,2,1,3,3,3,3,2,2,3,3,2,2,2,2
142,06,1200,2,1,2,2,2,3,2,2,2,2,0,0,2,2
143,06,1200,2,1,2,2,2,2,2,1,2,1,2,2,3,3
144,06,1200,2,1,3,3,3,3,2,1,3,2,3,3,2,3
145,06,1200,2,1,2,2,2,2,2,1,1,1,3,3,3,3
146,06,1200,2,1,2,3,2,3,2,2,2,1,2,1,2,2
147,06,1200,2,1,2,3,3,3,2,2,3,2,2,3,2,3
148,06,1200,2,1,2,3,3,3,2,1,3,3,2,2,3,3
149,06,3200,3,9,2,2,2,2,2,2,3,2,2,2,2,3
150,06,3200,3,9,2,2,2,2,2,1,2,2,2,1,1,1
151,06,3200,3,9,2,2,2,3,2,2,2,2,3,3,2,2
152,06,3200,3,9,2,2,2,2,2,1,2,2,2,2,1,1
153,06,3200,3,9,2,3,2,3,2,2,2,1,2,2,2,2
154,06,3200,3,9,2,3,2,2,2,1,2,2,2,2,3,3
155,06,3200,3,9,2,3,2,2,2,1,2,1,2,2,3,3
156,06,3200,3,9,2,2,2,3,2,2,2,1,3,3,3,3
157,06,3200,3,9,2,2,2,2,2,1,2,1,2,1,3,3
158,06,3200,3,9,2,2,2,2,2,2,3,2,3,3,2,2
159,06,3200,3,9,2,3,3,3,2,2,3,2,3,3,2,2
160,06,3200,3,9,2,2,2,2,2,1,2,2,0,0,3,3
161,06,2200,1,1,2,3,3,2,2,2,2,2,2,2,3,3
162,06,2200,1,1,2,3,2,2,2,1,2,1,2,2,2,3
163,06,2200,1,1,2,2,2,2,2,2,2,2,2,2,2,2
164,06,2200,1,1,2,2,2,2,2,2,1,1,1,1,2,2
165,06,2200,1,1,2,2,2,3,2,2,2,1,3,3,1,1
166,06,2200,1,1,1,1,1,2,2,2,1,1,2,1,1,1
167,06,2200,1,1,2,3,3,2,2,2,2,2,0,0,3,3
168,06,2200,1,1,2,3,2,2,2,2,2,1,2,2,2,2
169,06,2200,1,1,2,3,3,3,3,3,2,2,2,1,3,3
170,06,2200,1,1,2,2,2,2,2,1,2,1,2,2,3,3
171,06,1800,2,1,2,3,2,2,2,1,3,2,2,2,2,3
172,06,1800,2,1,2,2,2,2,2,1,2,1,3,3,3,3
173,06,1800,2,1,2,2,2,2,2,2,2,1,3,3,2,2
174,06,1800,2,1,3,2,2,2,2,1,2,1,2,1,2,2
175,06,1800,2,1,2,3,2,2,2,1,2,1,2,2,3,3
176,06,1800,2,1,2,2,2,2,2,2,2,1,2,2,2,2
177,06,1800,2,1,2,2,2,3,2,2,2,1,2,2,2,2
178,06,1800,2,1,2,2,2,3,2,3,2,1,2,1,2,2
179,06,1800,2,1,2,2,2,3,2,1,2,2,2,2,3,3
180,06,1800,2,1,1,1,1,2,1,2,1,1,0,0,2,2
181,06,1800,2,1,2,3,3,2,2,1,2,1,3,3,2,2
182,06,1800,2,1,3,2,3,2,2,1,2,2,3,2,3,3
183,06,1800,2,1,0,0,0,0,0,0,0,0,0,0,0,0
184,08,1200,2,1,2,2,2,2,2,1,2,2,2,1,2,2
185,08,1200,2,1,3,3,3,2,2,1,3,2,2,2,3,3
186,08,1200,2,1,2,2,2,2,2,2,2,2,1,1,2,2
187,08,1200,2,1,3,3,3,2,2,2,2,2,3,3,1,2
188,08,1200,2,1,3,3,3,2,2,1,3,2,3,3,3,3
189,08,1200,2,1,2,2,2,2,2,1,1,1,3,3,2,1
190,08,1200,2,1,2,2,2,2,2,1,2,2,2,1,2,2
191,08,1200,2,1,3,2,3,2,2,1,3,2,2,2,3,3
192,08,1200,2,1,2,2,2,2,2,1,2,1,2,2,3,3
193,08,1200,2,1,2,2,2,2,2,2,2,2,1,2,2,3
194,08,1200,2,1,2,2,2,2,2,1,2,2,1,1,2,2
195,08,1200,2,1,2,3,2,2,2,2,3,2,3,3,2,2
196,08,1200,2,1,2,2,2,2,2,2,2,1,2,2,2,3
197,08,1200,2,1,2,3,3,2,2,1,2,1,2,2,2,2
198,08,1200,2,1,2,2,2,2,2,1,1,1,1,1,1,1
199,08,1400,2,1,3,2,2,2,2,1,2,1,2,2,2,2
200,08,1400,2,1,2,2,2,2,2,1,1,1,2,2,2,2
201,08,1400,2,1,3,2,3,2,2,1,3,2,3,3,2,3
202,08,1400,2,1,2,2,2,2,2,1,2,2,3,2,3,3
203,08,1400,2,1,2,2,2,2,2,1,2,1,2,2,1,1
204,08,1400,2,1,2,3,3,3,2,2,2,2,3,3,3,3
205,08,1400,2,1,2,2,2,2,2,1,3,2,1,2,2,2
206,08,1400,2,1,2,2,2,2,1,2,2,1,2,2,3,3
207,08,1400,2,1,2,2,2,2,2,2,2,1,2,2,3,3
208,08,1400,2,1,2,3,3,2,2,2,2,2,2,2,2,3
209,08,1400,2,1,2,2,2,2,2,1,2,2,1,1,2,2
210,08,1400,2,1,3,3,3,2,2,1,2,1,1,1,3,3
211,08,1400,2,1,3,3,3,2,2,1,3,2,2,2,2,2
212,08,1200,1,1,0,3,3,3,2,2,2,1,3,3,2,2
213,08,1200,1,1,2,3,2,3,2,1,3,2,2,2,2,3
214,08,1200,1,1,2,3,2,2,2,2,3,2,2,2,3,3
215,08,1200,1,1,2,3,2,3,2,2,2,1,3,3,2,3
216,08,1200,1,1,2,3,3,2,2,1,2,1,0,0,3,3
217,08,1200,1,1,2,2,2,2,2,1,2,2,3,2,2,3
218,08,1200,1,1,3,3,3,3,2,2,3,2,3,3,3,3
219,08,1200,1,1,3,3,3,2,2,1,3,2,3,3,2,2
220,08,1200,1,1,3,3,3,2,2,1,2,2,2,2,2,2
221,08,1200,1,1,2,2,2,2,2,1,1,1,3,3,2,2
222,08,1200,1,1,2,3,2,3,2,1,3,2,3,3,3,3
223,08,1200,1,1,2,3,3,2,2,2,3,2,2,2,2,2
224,08,1600,1,1,2,3,2,3,2,1,2,2,3,2,2,2
225,08,1600,1,1,2,2,2,2,2,2,2,2,2,1,2,2
226,08,1600,1,1,3,2,3,2,2,2,3,2,2,2,2,3
227,08,1600,1,1,2,2,2,2,2,1,2,2,2,2,3,3
228,08,1600,1,1,2,3,2,2,2,2,3,3,1,1,2,2
229,08,1600,1,1,3,3,3,3,2,2,3,3,3,3,2,2
230,08,1600,1,1,2,3,2,2,2,2,3,2,3,3,3,3
231,08,1600,1,1,2,2,2,2,2,2,2,1,3,2,2,2
232,08,1600,1,1,2,3,2,2,2,2,3,3,3,3,2,2
233,08,1600,1,1,3,3,3,2,2,2,2,2,3,3,3,3
234,08,1600,1,1,2,2,2,2,2,2,3,3,2,1,2,2
235,08,1600,1,1,3,3,3,2,2,1,3,3,2,2,2,2
236,08,1600,1,1,2,3,2,2,2,1,2,2,3,3,2,3
237,08,1600,1,1,2,2,2,2,2,1,2,2,2,2,1,1
238,08,1600,1,1,2,2,2,2,2,1,3,2,3,3,2,3
239,08,1600,1,1,3,3,3,3,2,2,2,2,3,3,2,2
240,06,2400,2,1,3,2,3,2,2,2,2,1,2,2,3,3
241,06,2400,2,1,2,3,2,3,2,2,2,1,2,1,2,2
242,06,2400,2,1,2,3,2,3,2,2,2,1,2,1,3,3
243,06,2400,2,1,2,3,2,2,2,1,2,1,0,0,3,3
244,06,2400,2,1,2,2,2,2,2,1,1,1,3,3,3,3
245,06,2400,2,1,2,2,2,3,2,2,2,1,3,3,2,2
246,06,2400,2,1,2,2,2,2,2,2,1,1,2,2,2,3
247,06,2400,2,1,2,2,2,2,2,1,2,1,0,0,2,3
248,06,2400,2,1,2,2,2,3,3,1,2,2,3,2,3,3
249,06,2400,2,1,2,2,2,3,2,1,2,2,2,1,3,3
250,06,2400,2,1,2,1,1,2,2,1,1,1,2,2,2,2
251,06,2400,2,1,2,2,2,2,2,1,2,1,3,3,3,3
252,06,2400,2,1,2,2,2,2,2,2,1,1,3,2,2,2
253,06,2400,2,1,2,2,2,2,2,1,2,2,0,0,2,3
254,06,2400,2,1,2,3,3,3,2,2,3,3,0,0,3,3
255,06,2400,2,1,2,2,2,2,2,1,1,1,0,0,2,2
256,06,1200,1,1,2,3,3,3,3,2,3,3,0,0,3,3
257,06,1200,1,1,2,3,3,2,2,2,3,2,0,0,2,3
258,06,1200,1,1,3,3,3,3,2,2,3,2,2,2,2,2
259,06,1200,1,1,2,3,2,3,2,1,2,1,2,3,2,2
260,06,1200,1,1,2,3,3,3,2,1,3,2,2,1,2,2
261,06,1200,1,1,2,3,2,2,2,1,2,2,1,2,3,3
262,06,1200,1,1,3,3,3,3,2,1,3,2,2,3,3,3
263,06,1200,1,1,3,3,3,3,2,2,2,2,2,1,2,2
264,06,1200,1,1,2,3,2,3,2,2,2,1,3,3,2,2
265,06,1200,1,1,3,3,3,2,2,2,3,3,2,2,2,2
266,06,1200,1,1,2,3,2,3,3,2,3,2,2,2,2,2
267,06,1200,1,1,2,3,2,2,2,2,3,2,2,2,3,3
268,06,1600,1,1,0,3,2,3,2,1,3,2,2,2,2,2
269,06,1600,1,1,0,3,2,3,2,2,2,1,1,1,1,2
270,06,1600,1,1,2,2,1,2,2,1,2,1,0,0,3,3
271,06,1600,1,1,3,2,3,2,2,1,2,2,2,2,3,3
272,06,1600,1,1,2,3,2,3,2,1,2,1,0,0,2,2
273,06,1600,1,1,0,3,2,3,2,2,2,1,0,0,2,2
274,06,1600,1,1,0,3,3,3,2,1,3,2,0,3,3,3
275,06,1600,1,1,0,3,2,2,2,1,2,1,0,1,3,3
276,06,1600,1,1,0,3,3,3,2,2,3,2,3,3,3,3
277,06,1600,1,1,2,3,3,2,2,2,3,3,3,3,2,2
278,06,1600,1,1,0,3,3,3,2,1,2,2,3,3,3,3
279,06,1600,1,1,3,3,3,3,2,2,3,3,2,2,2,2
280,06,2000,1,1,2,2,2,2,2,2,1,1,3,3,3,3
281,06,2000,1,1,2,3,2,3,2,2,2,2,3,3,2,2
282,06,2000,1,1,2,3,2,3,2,2,3,2,2,2,2,2
283,06,2000,1,1,2,2,2,2,2,1,1,1,0,0,3,3
284,06,2000,1,1,2,2,2,2,2,2,3,2,2,2,2,2
285,06,2000,1,1,2,3,3,3,2,2,2,1,3,3,3,3
286,06,2000,1,1,2,3,2,3,3,2,3,3,3,3,3,3
287,06,2000,1,1,2,3,3,3,2,1,3,3,3,3,2,3
288,06,2000,1,1,2,2,2,3,2,2,2,1,2,1,2,3
289,06,2000,1,1,2,3,3,3,2,2,3,2,0,0,3,3
290,06,2000,1,1,2,2,2,2,2,1,2,2,3,3,1,1
291,06,2000,1,1,2,3,3,3,2,2,2,2,3,3,3,3
292,06,2000,1,1,2,2,2,2,2,1,1,1,2,2,2,2
293,06,2000,1,1,2,3,3,3,2,1,3,2,2,2,3,3
294,08,1900,2,1,2,2,2,2,2,2,2,1,2,2,3,3
295,08,1900,2,1,2,3,3,2,2,2,2,2,3,3,2,2
296,08,1900,2,1,2,2,2,2,2,1,1,1,2,2,2,3
297,08,1900,2,1,2,2,2,2,2,1,3,2,3,3,3,3
298,08,1900,2,1,2,3,2,2,2,2,1,1,2,1,3,3
299,08,1900,2,1,2,3,2,2,2,1,3,3,2,2,3,3
300,08,1900,2,1,2,2,2,2,2,2,3,2,3,3,1,1
301,08,1900,2,1,2,2,2,2,2,1,2,1,3,3,3,3
302,08,1900,2,1,2,2,2,3,2,2,2,2,2,2,2,2
303,08,1900,2,1,2,2,2,3,2,1,2,2,2,2,2,3
304,08,1900,2,1,2,2,2,3,2,1,2,1,3,3,1,2
305,08,1900,2,1,2,3,2,2,2,1,2,1,2,2,2,2
306,08,2000,1,1,2,2,2,2,2,2,2,2,3,2,3,3
307,08,2000,1,1,2,2,2,2,2,1,2,1,1,1,2,2
