íÖèá,înàÛ2,înàÛ3,înàÛ4,înàÛ5,înàÛ6,înàÛ7,înàÛ8,ògÉRÅ[ÉX,ògãRéË,ògí≤ã≥ét
1,5,5,0,3,5,5,0,16.8,40.4,11.5
1,5,3,0,2,2,3,0,13.5,29.7,10.7
1,3,0,0,1,1,0,1,15.2,17.6,9
0,3,2,0,1,3,4,0,17.1,20.3,14.8
0,0,4,0,1,1,1,1,14.4,16,5.2
0,0,1,0,1,0,2,1,17.8,9.2,8.3
0,0,1,0,1,0,1,0,19.2,12.5,4.5
0,0,0,0,1,4,0,0,15,34.4,8.6
1,0,5,0,2,5,5,0,14.2,18.3,14
1,1,2,0,1,3,0,0,19,11.1,14.8
1,0,3,0,1,0,1,1,15.2,17.9,2.8
0,0,1,0,1,2,1,0,19,11.4,14.7
0,0,1,0,1,1,0,1,14.2,7.2,10.8
0,0,0,0,1,1,2,1,13.5,14.2,4.2
0,0,4,0,1,4,4,0,13.9,17.2,14.8
0,0,0,0,1,0,0,0,13,8.6,10
0,0,0,0,1,0,3,0,14.2,10,12.3
0,0,0,0,1,0,0,0,11.2,0,8.3
1,0,4,0,2,4,5,0,14.5,24.4,24
1,0,1,0,1,2,1,0,12.2,12.5,14.2
1,3,0,0,1,0,0,0,17,2,7.1
0,0,5,0,1,5,3,0,13.7,15.7,18
0,0,3,0,1,3,4,0,14.5,23.8,5.2
0,0,0,0,1,0,0,1,13.7,14.9,15.7
0,0,1,0,1,0,2,0,12.2,5.1,13
0,1,2,0,1,1,0,1,12.8,12.5,16.6
0,0,0,0,1,1,0,0,17,15.2,5.5
0,1,0,0,1,0,0,0,14.6,8.6,7.2
0,0,0,0,1,0,0,0,14.4,14.6,0
0,0,0,0,1,0,0,0,14.6,16,4.5
0,0,0,0,1,0,1,0,12.8,12.3,8.1
0,0,0,0,1,0,0,0,14.4,3.7,12.1
0,0,0,0,1,0,0,1,11.8,9,14.6
0,0,0,0,1,0,0,0,11.8,6.7,14.6
1,5,5,0,4,5,5,0,15.6,43.5,38.2
1,5,4,0,1,3,3,0,11.6,10.3,34.6
1,5,3,0,1,4,2,0,20.1,23.6,26.9
0,5,1,0,1,2,4,0,14.2,17,9.6
0,0,0,0,2,0,0,0,14.2,13.9,11.5
0,5,1,0,1,1,1,1,16.1,13.1,19.7
0,0,2,0,3,1,0,1,17,22.5,19.2
0,0,0,0,1,0,0,0,14.2,18.6,22.2
