íÖèá,înàÛ2,înàÛ3,înàÛ4,înàÛ5,înàÛ6,înàÛ7,înàÛ8,ògÉRÅ[ÉX,ògãRéË,ògí≤ã≥ét
1,0,0,1,1,0,0,0,15.5,20.6,6.2
1,0,0,1,3,5,5,0,16.7,17.8,15.7
1,0,2,3,2,0,1,0,11.5,18,2.8
0,0,1,1,1,0,0,0,18,18.5,8.8
0,0,1,4,1,3,3,0,20,7.3,8.1
0,0,0,1,1,2,0,1,18,4.7,10.5
0,0,5,1,1,1,1,0,11.4,17.9,2.1
0,0,0,1,2,0,0,1,16.1,9.3,8.8
0,0,0,1,1,0,0,0,16.1,9,0
0,0,0,1,1,0,0,0,20,5.8,19.5
0,0,3,1,1,4,4,0,15.5,9.4,23.6
0,0,0,1,1,0,0,0,14.9,6.9,25.4
0,0,4,1,1,1,2,0,11.4,6.4,11.7
0,0,0,3,2,0,0,0,14.9,14.4,26.3
0,0,0,1,1,0,0,1,11.5,13.1,11.7
0,0,0,1,1,0,0,0,16.7,13.9,12
1,0,0,1,1,5,0,0,18,2.5,11.5
1,0,0,1,1,1,0,0,16.1,15.5,16
1,0,4,1,1,4,4,0,18,22.5,25
0,0,0,1,1,0,0,0,14.9,10.1,#N/A
0,0,0,1,1,1,0,1,15.5,6.1,8.3
0,0,0,1,1,0,0,0,20,13.2,8.1
0,0,0,1,1,0,0,1,16.1,3.3,15.3
0,0,3,1,1,2,2,1,15.5,25.7,12.5
0,0,5,1,1,3,5,0,16.7,16.7,20
0,0,2,2,1,0,1,0,14.9,22.2,33.3
0,0,0,1,2,0,0,0,11.5,2.8,0
0,0,0,1,1,0,0,0,16.7,10.5,20
0,0,0,1,1,0,0,0,11.5,#N/A,#N/A
0,0,1,1,1,0,3,0,11.4,42.4,0
0,0,1,1,1,0,1,0,11.4,9.7,9
0,0,0,1,1,0,0,0,20,8.9,11.3
1,5,3,3,4,5,4,0,19.7,36.7,27.2
1,0,0,1,1,0,0,0,14.5,15.5,15.5
1,0,5,1,1,4,5,0,15.1,16.2,14
