íÖèá,înàÛ2,înàÛ3,înàÛ4,înàÛ5,înàÛ6,înàÛ7,înàÛ8,ògÉRÅ[ÉX,ògãRéË,ògí≤ã≥ét
1,5,0,4,1,0,0,0,15.8,18,10
1,0,0,4,1,0,0,0,16.4,14,15.7
1,5,0,1,1,0,0,0,14.7,14.5,17.1
0,3,0,1,1,0,0,0,15.1,20.2,5.8
0,0,0,1,2,0,0,0,16.1,16.6,24.3
0,5,0,3,1,0,0,0,16.1,4.7,39
0,0,0,4,1,0,0,0,14.8,5.8,23.9
0,0,0,1,1,0,0,0,14,8.8,25
0,0,0,0,0,0,0,0,13.1,20,2.1
0,0,0,1,1,0,0,0,14.8,12.8,31.1
0,0,0,1,1,0,0,0,16.4,0,27.9
0,0,0,1,1,0,0,0,15.1,15.3,5.8
0,0,0,1,1,0,0,0,15.8,5.7,16.2
0,3,0,1,1,0,0,0,14.7,13,9.5
0,3,0,1,1,0,0,0,14,14.6,15.3
1,0,0,1,1,0,0,0,13.9,8.1,8.3
1,0,0,3,1,0,0,0,15.8,10.5,17.6
1,5,0,1,2,0,0,0,11.3,14.9,19.5
0,5,0,1,1,0,0,0,11.8,10.5,26.9
0,3,0,1,1,0,0,0,16.1,14.8,6.1
0,3,0,4,1,0,0,0,16.8,15.6,20
0,0,0,1,1,0,0,0,15.4,8.5,0
1,0,0,4,1,0,0,0,12.3,9.4,9.6
1,0,0,4,1,0,0,0,19.5,18.4,23
1,0,0,1,1,0,0,0,13.6,17.7,0
0,0,0,1,1,0,0,0,12.3,11.5,6.3
0,0,0,3,1,0,0,0,15.7,11.9,6.6
0,0,0,1,1,0,0,0,13.6,14.9,7.5
0,3,0,1,1,0,0,0,20.1,18.7,22.2
0,0,0,1,1,0,0,0,12.2,7.6,10
0,0,0,1,1,0,0,0,14.4,6.9,3.3
1,0,0,1,1,0,0,0,12.8,12.6,11.3
1,5,0,2,2,0,0,0,14.7,20,17
1,5,0,2,1,0,0,0,20.3,5.8,31.3
0,3,0,4,1,0,0,0,17,21.6,20.6
0,0,0,1,1,0,0,0,17.5,5.4,10
0,0,0,2,1,0,0,0,20,10.5,14
0,0,0,1,1,0,0,0,17.4,8.5,34.6
0,0,0,1,1,0,0,0,15.8,5.2,7.5
1,0,0,1,2,0,0,0,16.4,12.9,10
1,0,0,0,1,0,0,0,14,17.1,10
1,0,0,1,1,0,0,0,14.8,9.2,31
0,0,0,2,1,0,0,0,13.1,9.5,8.3
0,0,0,1,1,0,0,0,14.7,9.5,23.6
0,0,0,1,1,0,0,0,16.1,17.1,22.7
0,0,0,1,1,0,0,0,14.8,17.5,16.6
0,0,0,1,1,0,0,0,16.4,4.1,13.5
0,0,0,3,1,0,0,0,15.1,0,22
0,0,0,4,1,0,0,0,16.1,9.4,10.3
0,0,0,1,2,0,0,0,15.8,8,12.5
0,3,0,1,1,0,0,0,13.1,9.2,2.9
0,0,0,1,2,0,0,0,15.1,18.7,20
0,0,0,1,1,0,0,0,15.8,4.7,4.4
0,0,0,4,1,0,0,0,14.7,15.3,12.2
0,0,0,1,1,0,0,0,14,12.4,9.5
1,3,0,4,1,0,0,0,15,15.6,23.4
1,3,0,3,1,0,0,0,15.2,11.2,16.9
1,5,0,2,1,0,0,0,16.8,17.4,4.6
0,0,0,1,1,0,0,0,19.2,16.8,12.7
0,0,0,1,1,0,0,0,17.8,0,23
0,3,0,2,2,0,0,0,13.5,22.1,28.5
0,3,0,1,1,0,0,0,19.2,6.5,15.7
0,3,0,1,1,0,0,0,17.1,8.5,16.6
0,0,0,1,2,0,0,0,14.4,6.5,11.3
0,3,0,1,1,0,0,0,16.8,4.7,8.8
0,0,0,1,1,0,0,0,13.5,5.2,21.4
0,0,0,1,1,0,0,0,14.4,9.2,15.3
0,0,0,1,1,0,0,0,15.2,11.5,21.9
0,0,0,4,1,0,0,0,17.1,21.7,7.6
0,0,0,4,1,0,0,0,14.4,7.1,13.7
0,0,0,1,1,0,0,0,15,4.7,10.5
0,0,0,1,1,0,0,0,15.2,0,2.3
0,0,0,3,1,0,0,0,17.8,8.7,14.5
1,3,0,4,1,0,0,0,15.3,15.3,8.4
1,3,0,4,1,0,0,0,12.7,17,13.8
1,3,0,4,1,0,0,0,15.3,10.6,6
0,3,0,1,1,0,0,0,16.4,14.2,13
0,3,0,4,1,0,0,0,16.4,5.9,17.3
0,0,0,1,1,0,0,0,12.9,13.5,6.5
0,0,0,1,1,0,0,0,16.6,10.9,4.7
0,3,0,1,1,0,0,0,14.2,3.5,9
0,0,0,1,1,0,0,0,12,0,2.9
0,0,0,1,1,0,0,0,12.3,12,7.3
0,5,0,1,2,0,0,0,12.7,8.3,5.7
0,0,0,1,1,0,0,0,14.2,6.2,24.5
0,0,0,1,1,0,0,0,16.6,14.6,18.9
0,3,0,1,1,0,0,0,12.9,14.8,11.7
0,3,0,4,1,0,0,0,12,6.4,21
0,0,0,1,1,0,0,0,12.3,7.2,20
1,0,0,1,1,0,0,0,13.6,13.5,13.6
1,3,0,1,1,0,0,0,14.4,0,16.6
1,0,0,1,1,0,0,0,15.7,22.1,25
0,3,0,1,1,0,0,0,12.2,20.3,21.4
0,0,0,1,1,0,0,0,13.6,6.4,5.4
0,0,0,1,1,0,0,0,12.3,10.6,17.9
0,0,0,1,1,0,0,0,13.6,16,25
0,3,0,1,1,0,0,0,12.3,17.6,13.7
0,3,0,2,1,0,0,0,19.5,6.8,24.1
0,1,0,1,1,0,0,0,20.1,7.6,8.3
0,0,0,1,1,0,0,0,19.5,9.3,0
0,0,0,1,1,0,0,0,13.6,12.5,7.6
0,5,0,1,1,0,0,0,15.7,24.1,0
1,3,0,2,1,0,0,0,16.4,11.5,21.4
1,0,0,1,1,0,0,0,16.1,14.6,14.2
1,0,0,1,2,0,0,0,14,0,11.5
0,0,0,2,1,0,0,0,15.1,11.6,5.8
0,0,0,1,1,0,0,0,15.8,6.8,4.8
0,3,0,1,1,0,0,0,14.8,8.5,31.3
0,0,0,1,1,0,0,0,14.7,10,10.5
0,3,0,1,1,0,0,0,16.1,13,15
0,5,0,1,3,0,0,0,15.1,20.2,11.3
0,3,0,4,1,0,0,0,13.1,9.2,27.7
0,5,0,4,1,0,0,0,14.7,20.8,20.4
0,5,0,2,1,0,0,0,13.1,10.5,33.3
0,0,0,0,1,0,0,0,16.4,19.5,21.4
0,5,0,2,1,0,0,0,14.8,10.6,20
0,3,0,1,1,0,0,0,14,5.7,16.6
0,0,0,4,1,0,0,0,15.8,5.5,26
1,0,0,1,1,0,0,0,15.2,19.6,8.8
1,5,0,2,1,0,0,0,17.8,18.7,29.3
1,0,0,1,1,0,0,0,17.1,13.3,17.8
0,0,0,1,1,0,0,0,13.5,16.2,31.5
0,3,0,1,1,0,0,0,15.2,11.5,8.6
0,0,0,1,1,0,0,0,14.4,10.4,10.3
0,0,0,2,1,0,0,0,15,11.7,16.3
0,0,0,1,1,0,0,0,16.8,11.5,2.5
