íÖèá,înàÛ2,înàÛ3,înàÛ4,înàÛ5,înàÛ6,înàÛ7,înàÛ8,ògÉRÅ[ÉX,ògãRéË,ògí≤ã≥ét
1,0,3,1,1,5,4,0,11.5,21.4,13.2
1,0,4,1,1,4,3,0,17.9,12.3,9.8
1,0,5,1,1,3,5,0,13,21.3,33.3
0,3,0,4,1,2,0,0,11.6,15.8,3
0,0,2,3,3,0,2,1,18.7,32,6
0,0,1,1,2,1,1,0,13.6,13.9,21.2
0,0,0,1,1,0,0,0,13.6,6,4.7
0,0,0,1,1,0,0,0,14.3,14.6,12.5
0,0,0,2,1,0,1,1,14.6,10,4.1
0,1,0,4,1,0,0,0,17.9,6.8,2.4
0,0,1,1,1,1,0,1,18.7,5.7,12.9
1,0,0,1,1,0,0,0,13.6,6,8.5
1,0,0,1,1,1,1,1,18.2,16,10.7
1,0,0,1,1,0,0,0,13.1,9.2,7.5
0,5,4,1,2,5,0,0,18.2,24.5,25.7
0,0,1,1,1,2,1,0,13.1,23,32.2
0,0,0,1,1,4,0,0,12.3,17.7,17
0,0,5,1,1,0,5,0,17,20.4,15
0,0,3,0,2,0,2,0,15.7,14.5,11.5
0,0,0,4,1,1,3,1,11.5,17,12.6
0,0,1,1,1,0,0,0,12.3,8.8,18.8
0,5,0,1,1,0,0,0,11.5,6.7,11.3
0,3,2,1,1,3,4,1,14.4,6.8,15
1,0,5,1,2,5,4,0,13,21.3,28.5
1,3,4,2,1,4,3,0,17.9,15.1,13.6
1,0,3,1,1,3,5,0,11.6,8.8,21.4
0,0,0,1,1,0,0,0,11.5,21.4,9.3
0,0,0,1,1,0,1,0,11.6,16.3,3.4
0,5,0,1,1,0,0,0,18.7,10,10
0,0,1,1,1,0,2,0,14.3,8.2,4.5
0,5,0,1,1,1,0,1,11.5,14.6,36
0,0,0,4,1,0,0,0,14.3,6.2,3.5
0,0,0,1,1,0,0,0,13.6,6,13.3
0,0,2,1,2,0,0,0,17.9,32.4,9
0,0,0,4,1,2,0,0,14.6,4.6,17
0,0,0,4,1,0,0,1,14.6,5.8,17.3
0,0,0,3,1,0,0,1,18.7,12.5,18.6
0,0,1,1,1,1,1,0,13.6,15.9,10.5
1,0,0,1,1,0,0,0,13.3,5.6,14.5
1,5,3,4,2,3,5,0,13.8,34.4,10.7
1,0,0,1,1,0,0,0,12.2,1.6,2.1
0,0,1,4,1,0,1,1,12.2,12,12
0,5,2,1,1,1,0,1,13.4,18.6,16.1
