íÖèá,înàÛ2,înàÛ3,înàÛ4,înàÛ5,înàÛ6,înàÛ7,înàÛ8,ògÉRÅ[ÉX,ògãRéË,ògí≤ã≥ét
1,0,3,1,1,5,0,0,15.2,12.6,0
1,0,1,1,1,0,0,0,15,10.5,38.2
1,0,0,1,1,0,0,1,15.5,9.3,21.5
0,0,0,2,1,0,5,0,19,13.2,22
0,0,5,1,1,1,4,1,15.2,13.1,24.5
0,0,4,4,1,3,2,0,15,16.8,21
0,0,0,1,1,0,0,0,19,25,4.5
0,0,0,1,1,1,1,0,14.2,#N/A,2.7
0,0,1,1,1,4,3,0,14.7,8.4,11.4
0,0,0,1,1,0,0,1,15.5,9.3,8.8
0,0,0,1,1,0,0,0,12.3,8.8,4
0,0,2,1,1,2,1,0,13.3,12.2,11.1
0,0,0,1,1,0,0,0,13.3,#N/A,#N/A
0,0,0,1,1,0,0,0,14.7,13.1,9
0,0,0,1,1,0,0,0,14.2,#N/A,#N/A
0,0,0,3,1,0,0,0,12.3,8.9,11.5
1,0,2,2,2,0,5,0,18,32.6,11.9
1,5,4,2,4,4,4,0,17.2,36.7,29.7
1,0,1,1,3,5,2,0,10.8,37,10.7
0,5,0,1,1,0,0,0,15.1,13.3,22.2
0,0,0,2,1,0,0,1,15.1,15.5,17
0,0,3,1,1,1,0,0,15.1,15.8,14.6
0,0,0,1,1,0,1,1,10.9,21.8,20
0,0,0,2,1,0,0,0,17.2,13.1,12.5
0,0,0,1,1,0,1,0,14.6,6.6,35.4
0,0,0,1,1,0,0,0,15.1,19.2,6.6
0,5,0,1,1,0,0,0,14.6,21.6,5.8
0,0,1,1,1,1,3,1,15.5,10.5,17
0,0,5,1,2,2,0,0,15.5,13,4
0,0,0,1,4,3,0,0,10.9,#N/A,32.6
0,0,0,1,1,0,0,0,18,14.7,4
0,0,0,3,1,0,0,0,10.8,9.3,12.5
1,0,5,1,1,5,5,0,14,20.5,16
1,0,2,3,1,2,1,1,15.9,19.1,26.1
1,0,3,2,4,4,4,0,19.1,#N/A,16.1
0,0,1,3,3,1,3,0,19.1,33.3,19.6
0,0,1,2,1,1,0,1,18.7,21.5,8.1
0,0,4,1,2,3,2,0,15.9,16.6,0
0,0,0,1,1,0,1,0,18.5,12.3,12
0,0,0,1,1,0,0,1,18.5,20.5,25
0,0,0,3,1,0,0,0,16.9,10.9,0
