,JyoCD,Year,Kaiji,Nichiji,RaceNum,Umaban,Jyoken,Kyori,TrackCD,SibaBabaCD,DirtBabaCD,KakuteiJyuni,Ninki,PayTansyoUmaban1,PayTansyoPay1,PayTansyoNinki1,PayTansyoUmaban2,PayTansyoPay2,PayTansyoNinki2,PayFukusyoUmaban1,PayFukusyoPay1,PayFukusyoNinki1,PayFukusyoUmaban2,PayFukusyoPay2,PayFukusyoNinki2,PayFukusyoUmaban3,PayFukusyoPay3,PayFukusyoNinki3,PayFukusyoUmaban4,PayFukusyoPay4,PayFukusyoNinki4,PayFukusyoUmaban5,PayFukusyoPay5,PayFukusyoNinki5
0,06,2019,02,01,03,06,703,1200,24,0,1,15,15,11,000000150,01,,,,11,000000110,01,02,000000110,02,14,000000210,04,,,,,,
0,06,2019,02,01,09,06,005,2200,18,1,0,01,01,06,000000210,01,,,,06,000000120,01,02,000000170,04,10,000000200,05,,,,,,
0,06,2019,02,01,10,12,010,1800,17,1,0,08,07,15,000000250,01,,,,15,000000150,01,13,000000210,03,09,000000540,09,,,,,,
0,09,2019,01,01,07,13,005,1400,24,0,2,16,13,16,000000370,01,,,,16,000000150,01,01,000000160,02,14,000000180,05,,,,,,
0,09,2019,01,01,11,04,999,2000,24,0,1,07,02,10,000001410,08,,,,10,000000390,08,12,000000240,04,01,000000160,01,,,,,,
0,10,2019,01,05,04,02,703,1200,17,1,0,16,18,13,000002100,08,,,,13,000000500,08,03,000000300,06,17,000000220,04,,,,,,
0,10,2019,01,05,05,04,703,2000,17,1,0,03,11,12,000000890,05,,,,12,000000250,03,02,000000560,07,04,000001080,09,,,,,,
0,10,2019,01,05,05,18,703,2000,17,1,0,15,08,12,000000890,05,,,,12,000000250,03,02,000000560,07,04,000001080,09,,,,,,
0,10,2019,01,05,11,07,010,1200,17,1,0,14,07,01,000001850,08,,,,01,000000420,09,03,000000150,01,08,000000210,03,,,,,,
0,10,2019,01,05,12,16,005,1200,17,1,0,11,12,10,000001390,07,,,,10,000000450,07,11,000000150,01,08,000000780,12,,,,,,
