,jyoCd,Year,Kaiji,Nichiji,RaceNum,Umaban,Bamei
0,06,19,3,3,01,11,リワードノルン
0,06,19,3,3,02,03,サンデーレイジ
0,06,19,3,3,02,05,オオゾラ
0,06,19,3,3,02,08,リンガスビャクヤ
0,06,19,3,3,02,11,ロサデラルス
0,06,19,3,3,02,12,ガルラバン
0,06,19,3,3,03,08,ゴールドソックス
0,06,19,3,3,03,10,アイアンユウキャン
0,06,19,3,3,03,13,グランフェルテ
0,06,19,3,3,03,14,クリュサネル
0,06,19,3,3,04,02,ヌーヴァエポカ
0,06,19,3,3,04,04,エムオーマックス
0,06,19,3,3,04,06,テンノウザン
0,06,19,3,3,04,10,ドンヒューズ
0,06,19,3,3,04,11,エコロドリーム
0,06,19,3,3,04,16,モリトシュン
0,06,19,3,3,05,14,オセアグレイト
0,06,19,3,3,06,06,メールデゾレ
0,06,19,3,3,06,13,ゲンパチシャドウ
0,06,19,3,3,07,04,ネコマヒカ
0,06,19,3,3,08,15,ゴールドクロス
0,06,19,3,3,11,02,フィアーノロマーノ
0,06,19,3,3,12,16,ゲンパチカイナル
0,09,19,2,3,01,03,ヘニーストライカー
0,09,19,2,3,01,05,アイファーキングズ
0,09,19,2,3,02,01,キングアーサー
0,09,19,2,3,02,10,ラッキーグラン
0,09,19,2,3,02,13,ブルベアローザ
0,09,19,2,3,04,02,ロードラウレア
0,09,19,2,3,05,02,スパンキーワールド
0,09,19,2,3,06,03,サクセステーラー
0,09,19,2,3,07,10,フッフール
0,09,19,2,3,07,11,クーファウェヌス
0,09,19,2,3,08,08,メイショウゴウキ
0,09,19,2,3,10,09,モアナ
