,jyoCd,Year,Kaiji,Nichiji,RaceNum,Umaban,Bamei
0,06,19,2,8,01,02,マリノオークション
0,06,19,2,8,01,08,ニシノアメイズ
0,06,19,2,8,02,06,ロジフェーヴル
0,06,19,2,8,02,14,ノアトレジャー
0,06,19,2,8,03,02,オールドロマン
0,06,19,2,8,03,06,ラキウラ
0,06,19,2,8,03,10,アンビシャススター
0,06,19,2,8,06,05,ムーンレット
0,06,19,2,8,06,13,セリユーズ
0,06,19,2,8,07,15,フクノヴァランス
0,06,19,2,8,12,07,キャベンディッシュ
0,06,19,2,8,12,09,トーホウフライト
0,07,19,2,4,01,12,マイティウェイ
0,07,19,2,4,02,01,クリノイカズチオー
0,07,19,2,4,06,04,サトノボヌール
0,09,19,1,8,01,02,クリノシラヌイ
0,09,19,1,8,01,15,ウィズリー
0,09,19,1,8,02,08,ピエナキャプテン
0,09,19,1,8,02,12,クリノワンダフル
0,09,19,1,8,02,14,エスカレードフジ
0,09,19,1,8,02,16,ミユキメガバックス
0,09,19,1,8,03,01,オリエンタルハート
0,09,19,1,8,03,05,ブルーコンパクタ
0,09,19,1,8,03,06,ソルジャーバローズ
0,09,19,1,8,06,12,アヴァンセ
0,09,19,1,8,12,16,ティカル
