,jyoCd,Year,Kaiji,Nichiji,RaceNum,Umaban,Bamei
0,06,19,1,6,02,02,シャインマスカット
0,06,19,1,6,02,04,トラインコンパス
0,06,19,1,6,02,11,ジョイナイト
0,06,19,1,6,02,13,サクラザチェンジ
0,06,19,1,6,02,16,ビビッドオスカー
0,06,19,1,6,03,03,ラブミフォーエバー
0,06,19,1,6,03,07,アーバンキャット
0,06,19,1,6,03,08,イワネコゴシキ
0,06,19,1,6,03,09,ララファル
0,06,19,1,6,03,13,ディアマキニスタ
0,06,19,1,6,03,14,エスコーバタハト
0,06,19,1,6,03,15,カネコメヒカル
0,06,19,1,6,03,16,マトイ
0,06,19,1,6,05,03,スコッチフラワー
0,06,19,1,6,05,05,ショウナンサンキュ
0,06,19,1,6,09,04,ヒシイグアス
0,06,19,1,6,09,07,イルジオーネ
0,06,19,1,6,09,08,グラディーヴァ
0,06,19,1,6,10,04,ビッザーロ
0,06,19,1,6,10,08,デルマカルヴァドス
0,06,19,1,6,12,07,エイシンスレイマン
0,07,19,1,1,01,10,ペイシャラメント
0,07,19,1,1,01,13,パーフェクトワン
0,07,19,1,1,01,15,シゲルリシアキセキ
0,07,19,1,1,02,02,クリノカリビアン
0,07,19,1,1,02,05,トミケンルーア
0,07,19,1,1,02,11,ゲンパチファインド
0,07,19,1,1,03,11,オールドロマン
0,07,19,1,1,03,16,エーティースイセイ
0,07,19,1,1,04,09,ロードショー
0,07,19,1,1,07,01,バニュルス
0,07,19,1,1,07,04,アルジェンタータ
0,07,19,1,1,07,05,メテオスウォーム
0,07,19,1,1,07,10,グランヴィクトリア
0,07,19,1,1,07,11,カモンビューティー
0,07,19,1,1,07,18,スピードボンバー
0,07,19,1,1,08,02,アイアンブルー
0,07,19,1,1,08,12,エイカイキング
0,07,19,1,1,09,04,ハーグリーブス
0,07,19,1,1,10,06,リゲイン
0,07,19,1,1,10,10,ランスオブプラーナ
0,07,19,1,1,10,11,タガノジェロディ
0,07,19,1,1,11,02,アロハリリー
0,07,19,1,1,12,02,レンベルガー
0,07,19,1,1,12,08,ナディア
0,07,19,1,1,12,13,レッドミラベル
0,07,19,1,1,12,15,クレバーバード
0,07,19,1,1,12,17,パンドラフォンテン
0,08,19,1,6,05,03,ミラーミラー
0,08,19,1,6,06,07,グランドビクトリー
0,08,19,1,6,06,13,ヴァリアント
0,08,19,1,6,06,15,キュロン
0,08,19,1,6,09,09,ディアボレット
0,08,19,1,6,10,01,ショウリュウイクゾ
0,08,19,1,6,10,07,ヴェロックス
0,08,19,1,6,12,07,デザートストーム
0,08,19,1,6,12,08,ディープアドラーレ
