,jyoCd,Year,Kaiji,Nichiji,RaceNum,Umaban,Bamei
0,05,19,1,2,01,04,タータンダンサー
0,05,19,1,2,01,06,プランタンヴェール
0,05,19,1,2,01,12,ハニーディスタフ
0,05,19,1,2,01,13,ナンヨーオボロヅキ
0,05,19,1,2,01,15,デルマソルボンヌ
0,05,19,1,2,02,03,コヨキチボンバー
0,05,19,1,2,02,07,イリュージョニスト
0,05,19,1,2,02,11,ダイレクトフライト
0,05,19,1,2,04,02,プリンセスノンコ
0,05,19,1,2,04,06,トラストロン
0,05,19,1,2,05,02,ファムファタル
0,05,19,1,2,05,12,コスモアイトーン
0,05,19,1,2,09,01,マイネルエキサイト
0,05,19,1,2,10,04,コウキチョウサン
0,05,19,1,2,11,07,クロスケ
0,07,19,1,4,01,06,シゲルイエロダイヤ
0,07,19,1,4,01,12,グロリアスホープ
0,07,19,1,4,02,04,シゲルジルコン
0,07,19,1,4,02,10,フィアーバ
0,07,19,1,4,02,11,ゼロカラ
0,07,19,1,4,02,12,ペシュウィズダム
0,07,19,1,4,02,13,ガビーズメモリー
0,07,19,1,4,02,14,ワンダールウェス
0,07,19,1,4,07,05,ミラキュラスパワー
0,07,19,1,4,07,11,クラウソラス
0,08,19,2,2,01,11,ハコダテカーニバル
0,08,19,2,2,03,02,ヴィクトワールメイ
0,08,19,2,2,03,09,オウケンドーン
0,08,19,2,2,03,11,メイショウフェイト
0,08,19,2,2,03,13,ロックスピリット
0,08,19,2,2,08,06,ヒストリーメイカー
