,jyoCd,Year,Kaiji,Nichiji,RaceNum,Umaban,Bamei
0,06,19,2,2,01,03,アリューカス
0,06,19,2,2,01,08,アメリアヴォーグ
0,06,19,2,2,01,10,フロンサック
0,06,19,2,2,01,13,ボニーソックス
0,06,19,2,2,02,03,イッツザファースト
0,06,19,2,2,02,08,ブルーアトール
0,06,19,2,2,03,05,タカラパーティ
0,06,19,2,2,03,07,トレンドボブ
0,06,19,2,2,03,11,フクサンダーク
0,06,19,2,2,03,12,マイネルリッター
0,06,19,2,2,03,14,フリーズオプション
0,06,19,2,2,06,05,ウィクトーリア
0,06,19,2,2,07,01,ネオヴィットーリア
0,06,19,2,2,07,03,ディスパーション
0,06,19,2,2,07,04,ルックアットミー
0,06,19,2,2,07,10,コーラルプリンセス
0,06,19,2,2,07,16,アムネスティ
0,06,19,2,2,09,03,カルリーノ
0,06,19,2,2,09,04,キタイ
0,06,19,2,2,09,08,ラバストーン
0,06,19,2,2,10,15,レイダー
0,06,19,2,2,11,03,ラッキーライラック
0,06,19,2,2,12,05,ダークリパルサー
0,09,19,1,2,01,04,パリッシュブルー
0,09,19,1,2,01,13,タガノカルーア
0,09,19,1,2,01,14,ラキエストバイオ
0,09,19,1,2,03,05,ウォーターオリジン
0,09,19,1,2,03,06,プチティラン
0,09,19,1,2,04,04,クニノオーシャン
0,09,19,1,2,04,06,ハギノグランデ
0,09,19,1,2,05,03,ローザジルベルト
0,09,19,1,2,06,01,ローゼンリッター
0,09,19,1,2,06,02,ジューンデイズ
0,09,19,1,2,06,03,グランジェット
0,09,19,1,2,06,04,レンジャーガール
0,09,19,1,2,06,05,タガノジャイアント
0,09,19,1,2,06,06,エイシンホープ
0,09,19,1,2,06,07,ディオーネプリンス
0,09,19,1,2,06,08,アークロイヤル
0,09,19,1,2,06,09,ナリタムソウ
0,09,19,1,2,06,10,ジュルビアン
0,09,19,1,2,06,11,アスターブリザード
0,09,19,1,2,06,12,アモレッタ
0,09,19,1,2,06,13,ランランウイング
0,09,19,1,2,06,14,レッドジェニファー
0,09,19,1,2,06,15,ゾロ
0,09,19,1,2,07,13,ハルメキ
0,09,19,1,2,10,01,ショウリュウイクゾ
0,09,19,1,2,11,15,ヒルノデイバロー
0,10,19,1,6,01,07,ヤマタケフリーダム
0,10,19,1,6,01,13,スナイプ
0,10,19,1,6,03,12,クリノカリビアン
0,10,19,1,6,03,14,レイナアブソルータ
0,10,19,1,6,03,15,トウケイストーム
0,10,19,1,6,03,18,ハッピービギニング
0,10,19,1,6,05,17,ルフランエトワール
0,10,19,1,6,06,06,アカリダイヤモンド
0,10,19,1,6,11,06,ブライティアレディ
0,10,19,1,6,12,01,アグネスリバティ
0,10,19,1,6,12,03,シュンノカミ
0,10,19,1,6,12,06,カブキモノ
0,10,19,1,6,12,08,テーオーフォルテ
0,10,19,1,6,12,15,マスターコード
