,jyoCd,Year,Kaiji,Nichiji,RaceNum,Umaban,Bamei
0,06,19,2,5,02,01,ユイノコッペパン
0,06,19,2,5,02,04,ネオブレイブ
0,06,19,2,5,02,05,ペイシャニンフ
0,06,19,2,5,02,09,マビヨン
0,06,19,2,5,02,13,ラウズアップ
0,06,19,2,5,02,14,イワネコゴシキ
0,06,19,2,5,03,01,ノボオリエンス
0,06,19,2,5,05,02,ランドルーラー
0,06,19,2,5,05,14,フィリアーノ
0,06,19,2,5,06,02,ホープフルサイン
0,06,19,2,5,06,07,ヨークテソーロ
0,06,19,2,5,06,09,ルマーカーブル
0,06,19,2,5,06,10,ヴォイスオブジョイ
0,06,19,2,5,06,15,カイラーサナータ
0,06,19,2,5,07,05,カイザースクルーン
0,06,19,2,5,07,07,キャメロン
0,06,19,2,5,07,08,ポートロイヤル
0,06,19,2,5,07,09,ストロングコンビ
0,06,19,2,5,08,16,ルーチェソラーレ
0,06,19,2,5,10,08,フェイズベロシティ
0,06,19,2,5,10,11,コウキチョウサン
0,06,19,2,5,12,01,ゲンパチカイナル
0,06,19,2,5,12,03,レッドフレイ
0,06,19,2,5,12,13,エピックアン
0,07,19,2,1,02,05,キョウエイミーレス
0,07,19,2,1,02,10,グランドバレエ
0,07,19,2,1,02,11,メイショウジガネ
0,07,19,2,1,02,14,ファンタジオ
0,07,19,2,1,02,15,テイエムイブシギン
0,07,19,2,1,04,09,リターンチョウサン
0,07,19,2,1,04,12,キングキャラット
0,07,19,2,1,05,14,ハーフバック
0,07,19,2,1,08,03,エバープリンセス
0,07,19,2,1,09,03,ライクアロケット
0,07,19,2,1,10,10,リゲイン
0,09,19,1,5,02,01,フルーメン
0,09,19,1,5,02,03,ニードルズアイ
0,09,19,1,5,03,08,ジグソー
0,09,19,1,5,03,11,マサノファントム
0,09,19,1,5,04,01,サンライズアキレス
0,09,19,1,5,04,02,ローゼンリッター
0,09,19,1,5,04,10,ネルソンタッチ
0,09,19,1,5,08,04,シゲルクロカジキ
0,09,19,1,5,12,09,サイモンジルバ
