,jyoCd,Year,Kaiji,Nichiji,RaceNum,Umaban,Bamei
0,03,19,1,3,05,08,スキルドロイヤー
0,03,19,1,3,05,09,トミケンルーア
0,03,19,1,3,05,15,ヒリーズサン
0,03,19,1,3,07,12,デイジーブリランテ
0,03,19,1,3,07,13,ミコジェンヌ
0,03,19,1,3,10,05,ナランフレグ
0,03,19,1,3,12,04,ウインクリムゾン
0,06,19,3,7,03,13,キンジトー
0,06,19,3,7,09,01,ヴァンケドミンゴ
0,06,19,3,7,09,02,サトノウィザード
0,06,19,3,7,10,03,エネスク
0,06,19,3,7,12,13,カフェアトラス
0,09,19,2,7,03,09,ルルド
0,09,19,2,7,04,12,シャンタンエドゥー
0,09,19,2,7,05,07,ヤマカツマッハ
0,09,19,2,7,07,07,トーアライジン
0,09,19,2,7,08,03,クーファウェヌス
0,09,19,2,7,08,09,キクノエスペルト
0,09,19,2,7,08,11,ニシノトランザム
0,09,19,2,7,10,05,ビービーサレンダー
0,09,19,2,7,10,15,アスタースウィング
0,09,19,2,7,11,15,ユニコーンライオン
0,09,19,2,7,12,14,スワーヴアラミス
