,jyoCd,Year,Kaiji,Nichiji,RaceNum,Umaban,Bamei
0,06,19,2,6,01,12,ジューンバラード
0,06,19,2,6,07,02,ササノユキオルフェ
0,06,19,2,6,07,05,リトルレグルス
0,06,19,2,6,07,07,オレノマニラ
0,06,19,2,6,07,13,ウエスタンボルト
0,06,19,2,6,07,15,ノボベイビー
0,06,19,2,6,10,04,シベリアンスパーブ
0,06,19,2,6,10,13,ダイワキャグニー
0,06,19,2,6,11,12,ルガールカルム
0,06,19,2,6,11,14,オトナノジジョウ
0,06,19,2,6,12,14,パルティトゥーラ
0,07,19,2,2,05,08,ハードエイム
0,07,19,2,2,06,07,ハタノレジーナ
0,07,19,2,2,08,07,トウシンタイガー
0,07,19,2,2,08,12,ヨクエロマンボ
0,07,19,2,2,09,06,レッドシャーロット
0,07,19,2,2,09,15,ライレローズ
0,07,19,2,2,09,17,ハウナニ
0,07,19,2,2,12,08,メイショウモウコ
0,07,19,2,2,12,09,トロワゼトワル
0,09,19,1,6,02,09,メイショウハヤナリ
0,09,19,1,6,04,08,エクレアスピード
0,09,19,1,6,05,04,サトノサイベリー
0,09,19,1,6,08,05,パワーアッシュ
0,09,19,1,6,09,07,シースプラッシュ
0,09,19,1,6,10,14,メイショウカマクラ
0,09,19,1,6,11,07,ラミエル
0,09,19,1,6,12,10,バーニングペスカ
0,09,19,1,6,12,14,ゲキリン
0,09,19,1,6,12,16,デザートストーム
