,jyoCd,Year,Kaiji,Nichiji,RaceNum,Umaban,Bamei
0,03,19,1,1,01,02,プリマコロン
0,03,19,1,1,07,05,キョウエイシンシア
0,03,19,1,1,09,06,ナイトスプライト
0,06,19,3,5,01,07,フランシス
0,06,19,3,5,01,16,ローズドクレア
0,06,19,3,5,03,14,シゲルホタルイシ
0,06,19,3,5,05,06,ディヴァイン
0,06,19,3,5,08,02,ディスカバー
0,06,19,3,5,08,06,サミットプッシュ
0,06,19,3,5,08,07,ロビンズソング
0,06,19,3,5,09,03,トーホウアイレス
0,06,19,3,5,09,09,ポールヴァンドル
0,06,19,3,5,11,03,メイショウショウブ
0,06,19,3,5,11,04,ヴィッテルスバッハ
0,06,19,3,5,12,04,リーゼントシャルフ
0,06,19,3,5,12,12,セイウンデルレイ
0,09,19,2,5,03,06,ダンツアタッカー
0,09,19,2,5,05,05,コンカラー
0,09,19,2,5,05,07,レオンコロナ
0,09,19,2,5,06,07,オースミカテドラル
0,09,19,2,5,08,12,ワンパーパス
0,09,19,2,5,10,06,ビービーブレスユー
0,09,19,2,5,11,07,リバティハイツ
0,09,19,2,5,12,15,ダノンスパーク
