,jyoCd,Year,Kaiji,Nichiji,RaceNum,Umaban,Bamei
0,06,19,2,3,04,12,フジマサクラウン
0,06,19,2,3,04,14,トッコディルーチェ
0,06,19,2,3,09,12,カラリエーヴァ
0,06,19,2,3,09,16,アサクサスポット
0,06,19,2,3,10,01,レッドオルバース
0,06,19,2,3,11,16,エスティタート
0,06,19,2,3,12,04,テーオージーニアス
0,06,19,2,3,12,11,タイセイシュラーク
0,09,19,1,3,01,01,タガノカルーア
0,09,19,1,3,02,16,セデックカズマ
0,09,19,1,3,03,10,サンライズアカシア
0,09,19,1,3,06,07,アールジオール
0,09,19,1,3,09,11,バイオスパーク
0,09,19,1,3,10,15,ビックリシタナモー
0,09,19,1,3,11,11,サムシングジャスト
0,09,19,1,3,12,02,アドマイヤスカイ
0,10,19,1,7,01,10,クーファピーカブー
0,10,19,1,7,04,01,ミスアニバーサリー
0,10,19,1,7,06,12,ブルベアクワイ
0,10,19,1,7,07,04,シェヴェルニー
0,10,19,1,7,07,11,クインズカトレア
0,10,19,1,7,08,10,ドゥモワゼル
0,10,19,1,7,09,04,ブルーウィング
0,10,19,1,7,11,02,シュプリームゾーン
0,10,19,1,7,11,13,ウォーターシャウト
0,10,19,1,7,11,15,ドライバーズハイ
0,10,19,1,7,12,02,ショウナンタイザン
0,10,19,1,7,12,16,カワキタロマン
