,JyoCD,Year,Kaiji,Nichiji,RaceNum,Umaban,Jyoken,Kyori,TrackCD,SibaBabaCD,DirtBabaCD,KakuteiJyuni,Ninki,PayTansyoUmaban1,PayTansyoPay1,PayTansyoNinki1,PayTansyoUmaban2,PayTansyoPay2,PayTansyoNinki2,PayFukusyoUmaban1,PayFukusyoPay1,PayFukusyoNinki1,PayFukusyoUmaban2,PayFukusyoPay2,PayFukusyoNinki2,PayFukusyoUmaban3,PayFukusyoPay3,PayFukusyoNinki3,PayFukusyoUmaban4,PayFukusyoPay4,PayFukusyoNinki4,PayFukusyoUmaban5,PayFukusyoPay5,PayFukusyoNinki5
0,03,2019,01,06,03,01,703,1700,24,0,1,13,12,13,000000190,01,,,,13,000000110,01,14,000000180,04,02,000000170,02,,,,,,
0,03,2019,01,06,06,13,703,1700,24,0,1,05,01,14,000002990,09,,,,14,000000460,06,11,000000220,05,07,000000170,02,,,,,,
0,03,2019,01,06,10,05,005,2000,17,1,0,08,01,10,000000610,03,,,,10,000000270,02,12,000000430,04,09,000001670,10,,,,,,
0,05,2019,02,02,05,16,703,1600,11,1,0,16,17,12,000000900,04,,,,12,000000180,04,06,000000150,03,04,000000110,01,,,,,,
0,05,2019,02,02,06,13,005,1600,23,0,1,06,07,12,000000110,01,,,,12,000000100,01,10,000000180,03,03,000000230,05,,,,,,
0,05,2019,02,02,07,11,005,2000,11,1,0,05,02,08,000000240,01,,,,08,000000150,01,09,000000200,04,05,000002170,12,,,,,,
0,05,2019,02,02,11,11,999,2000,11,1,0,17,18,04,000000670,03,,,,04,000000270,04,02,000000180,01,09,000000540,09,,,,,,
0,05,2019,02,02,12,10,010,1600,23,0,1,10,16,14,000000220,01,,,,14,000000120,01,08,000000410,07,03,000000170,02,,,,,,
0,08,2019,03,02,05,11,703,1800,18,1,0,12,13,06,000000250,01,,,,06,000000110,01,01,000000120,02,10,000000140,03,,,,,,
0,08,2019,03,02,06,04,005,1800,24,0,1,03,01,02,000000420,02,,,,02,000000230,02,07,000000320,05,00,,,,,,,,
0,08,2019,03,02,08,06,005,1800,18,1,0,03,01,08,000000570,02,,,,08,000000140,02,05,000000210,04,06,000000110,01,,,,,,
