,JyoCD,Year,Kaiji,Nichiji,RaceNum,Umaban,Jyoken,Kyori,TrackCD,SibaBabaCD,DirtBabaCD,KakuteiJyuni,Ninki,PayTansyoUmaban1,PayTansyoPay1,PayTansyoNinki1,PayTansyoUmaban2,PayTansyoPay2,PayTansyoNinki2,PayFukusyoUmaban1,PayFukusyoPay1,PayFukusyoNinki1,PayFukusyoUmaban2,PayFukusyoPay2,PayFukusyoNinki2,PayFukusyoUmaban3,PayFukusyoPay3,PayFukusyoNinki3,PayFukusyoUmaban4,PayFukusyoPay4,PayFukusyoNinki4,PayFukusyoUmaban5,PayFukusyoPay5,PayFukusyoNinki5
0,05,2019,01,01,04,05,005,1600,23,0,1,10,11,13,000000340,01,,,,13,000000170,01,04,000000170,02,10,000000480,09,,,,,,
0,05,2019,01,01,04,08,005,1600,23,0,1,12,07,13,000000340,01,,,,13,000000170,01,04,000000170,02,10,000000480,09,,,,,,
0,05,2019,01,01,04,10,005,1600,23,0,1,03,09,13,000000340,01,,,,13,000000170,01,04,000000170,02,10,000000480,09,,,,,,
0,05,2019,01,01,05,14,703,2400,11,1,0,06,02,11,000000900,06,,,,11,000000280,05,06,000001030,09,04,000000250,03,,,,,,
0,05,2019,01,01,07,05,005,1400,23,0,1,10,13,14,000000640,04,,,,14,000000220,04,10,000000190,03,13,000000460,08,,,,,,
0,05,2019,01,01,09,08,016,1600,23,0,1,07,01,06,000001490,07,,,,06,000000320,08,10,000000160,02,05,000000150,01,,,,,,
0,05,2019,01,01,10,05,999,1400,11,1,0,09,10,07,000000340,01,,,,07,000000130,01,06,000000140,02,04,000000150,04,,,,,,
0,07,2019,01,03,02,03,703,1400,23,0,1,04,01,11,000000430,02,,,,11,000000170,02,02,000000200,04,13,000000360,07,,,,,,
0,07,2019,01,03,07,02,005,1900,23,0,1,01,05,02,000000690,05,,,,02,000000210,02,07,000000670,08,06,000000250,04,,,,,,
0,07,2019,01,03,07,10,005,1900,23,0,1,05,01,02,000000690,05,,,,02,000000210,02,07,000000670,08,06,000000250,04,,,,,,
0,07,2019,01,03,10,04,005,1400,23,0,1,06,08,12,000000530,03,,,,12,000000170,04,07,000000130,01,08,000001440,12,,,,,,
0,07,2019,01,03,10,13,005,1400,23,0,1,16,11,12,000000530,03,,,,12,000000170,04,07,000000130,01,08,000001440,12,,,,,,
0,07,2019,01,03,11,05,999,2000,11,1,0,01,08,05,000003180,08,,,,05,000000530,08,11,000000150,01,08,000000230,04,,,,,,
